name, state_code, country_name, i94_port_code
"TOROKINA #ARPT, PAPUA", , NEW GUINEA, TOK
VERACRUZ, , MEXICO, VER
WEST SUSSEX, , ENGLAND, LGW
MEXICO LAND (BANCO DE MEXICO), , MEXICO, ZZZ
NO PORT CODE (CHN), , , CHN
CANNON CORNERS, NY, UNITED STATES, CNC
ABU DHABI, , , MAA
MAGNOLIA, AR, UNITED STATES, AG0
BAR HARBOR, ME, UNITED STATES, BHM
BIRMINGHAM, AL, UNITED STATES, BHX
AKRON, OH, UNITED STATES, CAK
SUFFOLK COUNTY, NY, UNITED STATES, FOK
LANDER, WY, UNITED STATES, LND
MARFA, TX, UNITED STATES, MAR
MOLINE, IL, UNITED STATES, MLI
RIVERSIDE, CA, UNITED STATES, RIV
ROME, NY, UNITED STATES, RME
VAN NUYS, CA, UNITED STATES, VNY
YUMA, AZ, UNITED STATES, YUM
COLLAPSED (FOK) 06/15, , , FRG
COLLAPSED (HLG) 06/15, , , HRL
COLLAPSED (FOK) 06/15, , , ISP
COLLAPSED (SAJ) 06/15, , , JSJ
COLLAPSED (BUF) 06/15, , , BUS
COLLAPSED (PHU) 06/15, , , PHN
COLLAPSED (STR) 06/15, , , STN
COLLAPSED (VNB) 06/15, , , VMB
COLLAPSED (SEA) 06/15, , , T01
NO PORT CODE (PHF), , , PHF
NO PORT CODE (DRV), , , DRV
NO PORT CODE (FTB), , , FTB
NO PORT CODE (GAC), , , GAC
NO PORT CODE (GMT), , , GMT
NO PORT CODE (JFA), , , JFA
NO PORT CODE (JMZ), , , JMZ
NO PORT CODE (NC8), , , NC8
NO PORT CODE (NYL), , , NYL
NO PORT CODE (OAI), , , OAI
NO PORT CODE (PCW), , , PCW
NO PORT CODE (WAS), , , WAS
NO PORT CODE (WTR), , , WTR
NO PORT CODE (X96), , , X96
NO PORT CODE (XNA), , , XNA
NO PORT CODE (YGF), , , YGF
NO PORT CODE (5T6), , , 5T6
NO PORT CODE (60), , , 60
NO PORT CODE (SP0), , , SP0
NO PORT CODE (W55), , , W55
NO PORT CODE (X44), , , X44
NO PORT CODE (AUH), , , AUH
NO PORT CODE (RYY), , , RYY
NO PORT CODE (SUS), , , SUS
NO PORT CODE (74S), , , 74S
NO PORT CODE (ATW), , , ATW
NO PORT CODE (CPX), , , CPX
NO PORT CODE (MTH), , , MTH
NO PORT CODE (PFN), , , PFN
NO PORT CODE (SCH), , , SCH
NO PORT CODE (ASI), , , ASI
NO PORT CODE (BKF), , , BKF
NO PORT CODE (DAY), , , DAY
NO PORT CODE (Y62), , , Y62
NO PORT CODE (AG), , , AG
NO PORT CODE (BCM), , , BCM
NO PORT CODE (DEC), , , DEC
NO PORT CODE (PLB), , , PLB
NO PORT CODE (CXO), , , CXO
NO PORT CODE (JBQ), , , JBQ
NO PORT CODE (JIG), , , JIG
NO PORT CODE (OGS), , , OGS
NO PORT CODE (TIW), , , TIW
NO PORT CODE (OTS), , , OTS
NO PORT CODE (AMT), , , AMT
NO PORT CODE (EGE), , , EGE
NO PORT CODE (GPI), , , GPI
NO PORT CODE (NGL), , , NGL
NO PORT CODE (OLM), , , OLM
NO PORT CODE (.GA), , , .GA
NO PORT CODE (CLX), , , CLX
NO PORT CODE (CP), , , CP
NO PORT CODE (FSC), , , FSC
NO PORT CODE (NK), , , NK
NO PORT CODE (ADU), , , ADU
NO PORT CODE (AKT), , , AKT
NO PORT CODE (LIT), , , LIT
NO PORT CODE (A2A), , , A2A
NO PORT CODE (OSN), , , OSN
